title,address,location.lat,location.lng,neighborhood,postalCode,ObjectId,x,y
KIOSK idos Bude,"Münsterstraße 120, 44145 Dortmund, Germany",51.5261015,7.4598782,Innenstadt-Nord,44145,14,7.4598782,51.5261015
Kiosk,"Oesterholzstraße 110, 44145 Dortmund, Germany",51.5276035,7.4830244,Innenstadt-Nord,44145,15,7.4830244,51.5276035
Luan's kiosk,"Hochofenstraße 27, 44263 Dortmund, Germany",51.4876325,7.4918286,Hörde,44263,16,7.4918286,51.4876325
KwiXX 24/7,"Hohe Str. 93, 44139 Dortmund, Germany",51.5024469,7.4585725,Innenstadt-West,44139,17,7.4585725,51.5024469
Shop zur Schanze,"Dortmunder Landstraße 65, 58313 Herdecke, Germany",51.434966,7.446644,Hombruch,58313,18,7.446644,51.434966
Zirak Kiosk Bäckerei,"Dörwerstraße 18, 44359 Dortmund, Germany",51.5580918,7.3892713,Mengede,44359,19,7.3892713,51.5580918
Kiosk an der Möllerbrücke,"Lindemannstraße 7, 44137 Dortmund, Germany",51.5064351,7.4507435,Innenstadt-West,44137,20,7.4507435,51.5064351
Ruhr Nachrichten Trinkhalle Sebu,"44369 Huckarde, Germany",51.5264725,7.3988793,Huckarde,NA,21,7.3988793,51.5264725
Mellis Corner,"Schwerter Str. 288, 44287 Dortmund, Germany",51.4823279,7.5602985,Aplerbeck,44287,22,7.5602985,51.4823279
Derner Kiosk,"Altenderner Str. 57, 44329 Dortmund, Germany",51.5691057,7.521167,Scharnhorst,44329,23,7.521167,51.5691057
Hansa Kiosk,"Hansastraße 14-16, 44137 Dortmund, Germany",51.5163167,7.4638518,Innenstadt-West,44137,24,7.4638518,51.5163167
Kiosk bei Hakan Western Union Ria,"Mallinckrodtstraße 36, 44145 Dortmund, Germany",51.5253283,7.46925,Innenstadt-Nord,44145,25,7.46925,51.5253283
Kiracti E,"Münsterstraße 218, 44145 Dortmund, Germany",51.5325833,7.4558941,Innenstadt-Nord,44145,26,7.4558941,51.5325833
Kiosk,"Stahlwerkstraße 59, 44145 Dortmund, Germany",51.5253688,7.4796638,Innenstadt-Nord,44145,27,7.4796638,51.5253688
Tabac&Co Tabakwaren Lotto und Post,"Holzwickeder Str. 115, 44309 Dortmund, Germany",51.5162529,7.562863,Brackel,44309,28,7.562863,51.5162529
Klemencic DHL Lotto Tabak Getränke Presse,"Wißstraße 20, 44137 Dortmund, Germany",51.5124217,7.4649181,Innenstadt-West,44137,29,7.4649181,51.5124217
Trinkhalle & Kiosk,"Nederhoffstraße 10, 44137 Dortmund, Germany",51.5085972,7.4458051,Innenstadt-West,44137,30,7.4458051,51.5085972
Kiosk Mini Markt,"Hamburger Str. 69, 44135 Dortmund, Germany",51.5138452,7.4824489,Dortmund Innenstadt-Ost,44135,31,7.4824489,51.5138452
Huckarde Kiosk,"Altfriedstraße Altfriedstrße 1, 44369 Dortmund, Germany",51.5324812,7.4152045,Huckarde,44369,32,7.4152045,51.5324812
HK Kiosk,"Buschstraße 20, 44369 Dortmund, Germany",51.5406223,7.407431,Huckarde,44369,33,7.407431,51.5406223
Trinkhalle,"Johanna-Melzer-Straße 22, 44147 Dortmund, Germany",51.5197479,7.4509101,Innenstadt-Nord,44147,34,7.4509101,51.5197479
Albik Kiosk - DHL & DPD - Moneygram,"Kaiserstraße 210, 44143 Dortmund, Germany",51.5139705,7.4963876,Dortmund Innenstadt-Ost,44143,35,7.4963876,51.5139705
Kiosk Dilschad,"In d. Meile 2, 44379 Dortmund, Germany",51.5097176,7.3823929,Lütgendortmund,44379,36,7.3823929,51.5097176
A&A Kisok,"Stockumer Str. 421, 44227 Dortmund, Germany",51.4815168,7.4077288,Hombruch,44227,37,7.4077288,51.4815168
Kiosk Sidar,"Provinzialstraße, 44388 Dortmund, Germany",51.5208086,7.3250736,Lütgendortmund,NA,38,7.3250736,51.5208086
Kiosk Solmstraße,"Solmstraße 32, 44359 Dortmund, Germany",51.5727585,7.3720785,Mengede,44359,39,7.3720785,51.5727585
Kiosk Am Zollern,"Bockenfelder Str. 250D, 44388 Dortmund, Germany",51.5201723,7.3324399,Lütgendortmund,44388,40,7.3324399,51.5201723
Kaan Kiosk Trinkhalle Stehcafe,"44145 Dortmund, Germany",51.5231165,7.4811188,NA,NA,41,7.4811188,51.5231165
Kiosk 73,"Blücherstraße 73, 44147 Dortmund, Germany",51.5237284,7.4505423,Innenstadt-Nord,44147,42,7.4505423,51.5237284
Minimarkt & DHL-Paketshop Im Dorloh,"Im Dorloh 71, 44379 Dortmund, Germany",51.5178003,7.363571,Huckarde,44379,43,7.363571,51.5178003
Kiosk,"Scharnhorststraße 52, 44147 Dortmund, Germany",51.5212132,7.4463433,Innenstadt-Nord,44147,44,7.4463433,51.5212132
Waldkiosk im Zoo,"Hacheneyer Str. 182, 44265 Dortmund, Germany",51.474506,7.4708124,Hörde,44265,45,7.4708124,51.474506
